-3,-3,-3,28832
-3,-3,-2,26532
-3,-3,-1,24432
-3,-3,0,22532
-3,-3,1,20832
-3,-3,2,19332
-3,-2,-3,17025
-3,-2,-2,15725
-3,-2,-1,14625
-3,-2,0,13725
-3,-2,1,13025
-3,-2,2,12525
-3,-1,-3,11620
-3,-1,-2,10920
-3,-1,-1,10420
-3,-1,0,10120
-3,-1,1,10020
-3,-1,2,10120
-3,0,-3,9017
-3,0,-2,8517
-3,0,-1,8217
-3,0,0,8117
-3,0,1,8217
-3,0,2,8517
-3,1,-3,8016
-3,1,-2,7316
-3,1,-1,6816
-3,1,0,6516
-3,1,1,6416
-3,1,2,6516
-3,2,-3,9817
-3,2,-2,8517
-3,2,-1,7417
-3,2,0,6517
-3,2,1,5817
-3,2,2,5317
-2,-3,-3,19325
-2,-3,-2,17025
-2,-3,-1,14925
-2,-3,0,13025
-2,-3,1,11325
-2,-3,2,9825
-2,-2,-3,8518
-2,-2,-2,7218
-2,-2,-1,6118
-2,-2,0,5218
-2,-2,1,4518
-2,-2,2,4018
-2,-1,-3,4113
-2,-1,-2,3413
-2,-1,-1,2913
-2,-1,0,2613
-2,-1,1,2513
-2,-1,2,2613
-2,0,-3,2510
-2,0,-2,2010
-2,0,-1,1710
-2,0,0,1610
-2,0,1,1710
-2,0,2,2010
-2,1,-3,2509
-2,1,-2,1809
-2,1,-1,1309
-2,1,0,1009
-2,1,1,909
-2,1,2,1009
-2,2,-3,5310
-2,2,-2,4010
-2,2,-1,2910
-2,2,0,2010
-2,2,1,1310
-2,2,2,810
-1,-3,-3,16020
-1,-3,-2,13720
-1,-3,-1,11620
-1,-3,0,9720
-1,-3,1,8020
-1,-3,2,6520
-1,-2,-3,5813
-1,-2,-2,4513
-1,-2,-1,3413
-1,-2,0,2513
-1,-2,1,1813
-1,-2,2,1313
-1,-1,-3,2008
-1,-1,-2,1308
-1,-1,-1,808
-1,-1,0,508
-1,-1,1,408
-1,-1,2,508
-1,0,-3,1005
-1,0,-2,505
-1,0,-1,205
-1,0,0,105
-1,0,1,205
-1,0,2,505
-1,1,-3,1604
-1,1,-2,904
-1,1,-1,404
-1,1,0,104
-1,1,1,4
-1,1,2,104
-1,2,-3,5005
-1,2,-2,3705
-1,2,-1,2605
-1,2,0,1705
-1,2,1,1005
-1,2,2,505
0,-3,-3,15317
0,-3,-2,13017
0,-3,-1,10917
0,-3,0,9017
0,-3,1,7317
0,-3,2,5817
0,-2,-3,5310
0,-2,-2,4010
0,-2,-1,2910
0,-2,0,2010
0,-2,1,1310
0,-2,2,810
0,-1,-3,1705
0,-1,-2,1005
0,-1,-1,505
0,-1,0,205
0,-1,1,105
0,-1,2,205
0,0,-3,902
0,0,-2,402
0,0,-1,102
0,0,0,2
0,0,1,102
0,0,2,402
0,1,-3,1701
0,1,-2,1001
0,1,-1,501
0,1,0,201
0,1,1,101
0,1,2,201
0,2,-3,5302
0,2,-2,4002
0,2,-1,2902
0,2,0,2002
0,2,1,1302
0,2,2,802
1,-3,-3,16016
1,-3,-2,13716
1,-3,-1,11616
1,-3,0,9716
1,-3,1,8016
1,-3,2,6516
1,-2,-3,5809
1,-2,-2,4509
1,-2,-1,3409
1,-2,0,2509
1,-2,1,1809
1,-2,2,1309
1,-1,-3,2004
1,-1,-2,1304
1,-1,-1,804
1,-1,0,504
1,-1,1,404
1,-1,2,504
1,0,-3,1001
1,0,-2,501
1,0,-1,201
1,0,0,101
1,0,1,201
1,0,2,501
1,1,-3,1600
1,1,-2,900
1,1,-1,400
1,1,0,100
1,1,1,0
1,1,2,100
1,2,-3,5001
1,2,-2,3701
1,2,-1,2601
1,2,0,1701
1,2,1,1001
1,2,2,501
2,-3,-3,19317
2,-3,-2,17017
2,-3,-1,14917
2,-3,0,13017
2,-3,1,11317
2,-3,2,9817
2,-2,-3,8510
2,-2,-2,7210
2,-2,-1,6110
2,-2,0,5210
2,-2,1,4510
2,-2,2,4010
2,-1,-3,4105
2,-1,-2,3405
2,-1,-1,2905
2,-1,0,2605
2,-1,1,2505
2,-1,2,2605
2,0,-3,2502
2,0,-2,2002
2,0,-1,1702
2,0,0,1602
2,0,1,1702
2,0,2,2002
2,1,-3,2501
2,1,-2,1801
2,1,-1,1301
2,1,0,1001
2,1,1,901
2,1,2,1001
2,2,-3,5302
2,2,-2,4002
2,2,-1,2902
2,2,0,2002
2,2,1,1302
2,2,2,802
